Russian;Romaji
а;a
о;o
у;u
е;e
э;e
ы;i
я;ya
ё;yo
ю;yu
и;i
ба;ba
бо;bo
бу;bu
бе;be
бэ;be
бы;bi
бя;bya
бё;byo
бю;byu
би;bi
ва;wa
во;wo
ву;wu
ве;we
вэ;we
вы;wi
вя;wya
вё;wyo
вю;wyu
ви;wi
га;ga
го;go
гу;gu
ге;ge
гэ;ge
гы;gi
гя;gya
гё;gyo
гю;gyu
ги;gi
да;da
до;do
ду;du
де;de
дэ;de
ды;di
дя;dya
дё;dyo
дю;dyu
ди;di
жа;ja
жо;jo
жу;ju
же;je
жэ;je
жы;ji
жя;jya
жё;jyo
жю;jyu
жи;ji
за;za
зо;zo
зу;zu
зе;ze
зэ;ze
зы;zi
зя;zya
зё;zyo
зю;zyu
зи;zi
ка;ka
ко;ko
ку;ku
ке;ke
кэ;ke
кы;ki
кя;kya
кё;kyo
кю;kyu
ки;ki
ла;ra
ло;ro 
лу;ru
ле;re
лэ;re
лы;ri
ля;rya
лё;ryo
лю;ryu
ли;ri
ма;ma
мо;mo
му;mu
ме;me
мэ;me
мы;mi
мя;mya
мё;myo
мю;myu 
ми;mi
на;na
но;no
ну;nu
не;ne
нэ;ne
ны;ni
ня;nya
нё;nyo
ню;nyu
ни;ni
па;pa
по;po
пу;pu
пе;pe
пэ;pe
пы;pi
пя;pya
пё;pyo
пю;pyu
пи;pi
ра;ra
ро;ro 
ру;ru
ре;re
рэ;re
ры;ri
ря;rya
рё;ryo
рю;ryu
ри;ri
са;sa
со;so
су;su
се;se
сэ;se
сы;si
ся;sya
сё;syo
сю;syu
си;si
та;ta
то;to
ту;tu
те;te
тэ;te
ты;ti
тя;tya
тё;tyo
тю;tyu
ти;ti
фа;ha
фо;ho
фу;fu
фе;he
фэ;he
фы;hi
фя;hya
фё;hyo
фю;hyu
фи;hi
ха;ha
хо;ho
ху;hu
хе;he
хэ;he
хы;hi
хя;hya
хё;hyo
хю;hyu
хи;hi
ца;tsa
цо;tso
цу;tsu
це;tse
цэ;tse
цы;tsi
ця;tsya
цё;tsyo
цю;tsyu
ци;tsi
ча;cha
чо;cho
чу;chu
че;che
чэ;che
чы;chi
чя;chya
чё;chyo
чю;chyu
чи;chi
ша;sha
шо;shyo
шу;shu
ше;she
шэ;she
шы;shi
шя;shya
шё;shyo
шю;shyu
ши;shi
ща;sha
що;sho
щу;shu
ще;she
щэ;she
щы;shi
щя;shya
щё;shyo
щю;shyu
щи;shi
